Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
82.0,F,62297.0,1.96,Phoenix,,0
15.0,F,38674.0,1.83,New York,Phd,4
,,,1.87,,Bachelors,0
95.0,M,29759.0,1.77,Chicago,Phd,4
36.0,M,99938.0,1.78,Phoenix,Phd,5
,,,1.64,,Mastre,0
29.0,F,75609.0,1.59,Chicago,Master,4
,,195472.0,1.96,,Bachelors,0
,,,1.98,,Bachelors,0
,,188965.0,1.52,,Bachelors,0
,,161634.0,1.59,,Mastre,0
95.0,M,96068.0,1.71,Houston,,5
70.0,M,94801.0,1.75,Houston,Master,4
12.0,F,28046.0,1.91,Los Angeles,,5
,,158404.0,1.65,,Bachelors,0
55.0,M,80718.0,1.67,New York,Master,5
5.0,F,50315.0,1.91,Chicago,Phd,4
4.0,F,22593.0,1.95,Houston,Bachelor,0
12.0,F,34145.0,1.8,Los Angeles,,1
28.0,M,22695.0,1.79,Los Angeles,Master,5
30.0,F,83671.0,1.95,New York,Master,0
,,171768.0,1.74,,Mastre,0
78.0,F,29311.0,1.81,Houston,Master,2
4.0,F,92847.0,1.57,Los Angeles,Bachelor,3
72.0,F,88317.0,1.9,Phoenix,,5
26.0,F,73978.0,1.54,New York,Bachelor,1
92.0,M,24141.0,1.76,New York,Master,0
84.0,F,28276.0,1.88,Chicago,Bachelor,5
90.0,M,75738.0,1.95,Chicago,,0
70.0,F,20669.0,1.95,Houston,Bachelor,5
54.0,F,21123.0,1.95,Houston,Master,3
29.0,M,52039.0,1.79,Phoenix,Master,5
58.0,F,53514.0,1.72,Chicago,,0
76.0,F,66416.0,1.71,Los Angeles,Phd,4
36.0,F,74937.0,1.57,Phoenix,Master,4
1.0,F,26377.0,1.83,New York,Phd,1
98.0,M,69873.0,1.51,New York,,2
21.0,M,36936.0,1.53,New York,Bachelor,3
90.0,M,91992.0,1.79,Houston,Bachelor,4
55.0,F,89101.0,1.55,Los Angeles,Bachelor,1
,,,1.85,,Phd,0
36.0,F,74461.0,1.84,Houston,Bachelor,1
20.0,F,70142.0,1.64,Houston,Phd,4
28.0,F,72634.0,1.88,New York,Master,4
98.0,F,57902.0,1.55,Phoenix,Master,4
44.0,F,64286.0,1.64,New York,Master,5
14.0,M,38642.0,1.6,Chicago,,4
,,,1.69,,Phd,0
49.0,M,80258.0,1.57,Phoenix,,1
13.0,M,36831.0,1.83,Houston,Phd,5
46.0,M,66237.0,1.85,Los Angeles,Phd,0
45.0,M,45428.0,1.82,Chicago,Phd,3
,,155507.0,1.62,,Phd,0
34.0,M,26314.0,1.77,Houston,Phd,2
6.0,M,20049.0,1.55,Phoenix,,3
94.0,M,20726.0,1.98,Phoenix,Bachelor,4
59.0,M,92046.0,1.9,New York,Phd,1
69.0,F,66963.0,1.95,Los Angeles,,3
16.0,M,53119.0,1.8,Houston,Bachelor,5
49.0,F,97530.0,1.6,New York,Master,5
11.0,F,86420.0,1.54,Houston,,0
71.0,M,92119.0,1.82,New York,,5
38.0,F,90564.0,1.63,Phoenix,Phd,1
81.0,M,34472.0,1.7,New York,Phd,4
